_id,_key,_rev,claims,description,label,type
WikiItems/Q656,Q656,_gBP4BSy---,"list of monuments,OKTMO identifier,instance of,flag,executive body,is in the administrative territorial entity,type of administrative territorial entity,time zone,Wikivoyage banner,dmoz,population,category for people who died here,GeoNames ID",federal city in Russia and the former capital,Saint Petersburg,item
WikiItems/Q659,Q659,_gBP4BT----,"opposite of,instance of",one of the four cardinal directions,north,item
WikiItems/Q661,Q661,_gBP4BTG---,,cyclic water pump powered by hydropower,hydraulic ram,item
WikiItems/Q666,Q666,_gBP4BTO---,instance of,Christian theological concept,number of the beast,item
WikiItems/Q676,Q676,_gBP4BTW---,GND identifier,form of language which applies ordinary grammatical structure and natural flow of speech,prose,item
WikiItems/Q683,Q683,_gBP4BTe---,"time zone,official language,ISO 3166-1 alpha-3,flag,instance of,capital,Wikivoyage banner,dmoz,GeoNames ID",country in Oceania,Samoa,item
WikiItems/Q684,Q684,_gBP4BTq---,"instance of,opposite of",one of the four cardinal directions,east,item
WikiItems/Q685,Q685,_gBP4BTy---,"head of state,ISO 3166-1 alpha-3,flag,capital,instance of,official language,time zone,Wikivoyage banner,dmoz,GND identifier,Human Development Index,GeoNames ID",country in Oceania,Solomon Islands,item
WikiItems/Q686,Q686,_gBP4BU----,"ISO 3166-1 alpha-3,flag,capital,instance of,official language,time zone,Wikivoyage banner,GND identifier,dmoz,GeoNames ID",country in Oceania,Vanuatu,item
WikiItems/Q688,Q688,_gBP4BUG---,"OmegaWiki Defined Meaning,element symbol,GND identifier,instance of",element with the atomic number of 17,chlorine,item
WikiItems/Q694,Q694,_gBP4BUS---,"list of monuments,type of administrative territorial entity,capital,time zone,flag,is in the administrative territorial entity,Wikivoyage banner,GND identifier,dmoz,instance of,category for people who died here",province of the Netherlands,South Holland,item
WikiItems/Q700,Q700,_gBP4BUa---,"instance of,MusicBrainz artist ID",a fictional character from the Muppets,Swedish Chef,item
WikiItems/Q701,Q701,_gBP4BUi---,"GeoNames ID,population,instance of,type of administrative territorial entity,list of monuments,flag,time zone,GND identifier,capital,Wikivoyage banner,dmoz,category for people who died here",province of the Netherlands,North Holland,item
WikiItems/Q716,Q716,_gBP4BUq---,"OmegaWiki Defined Meaning,element symbol,GND identifier,instance of",element with the atomic number of 22,titanium,item
WikiItems/Q722,Q722,_gBP4BUy---,"CAS registry number,OmegaWiki Defined Meaning,element symbol,GND identifier,instance of",chemical element with the atomic number of 23,vanadium,item
WikiItems/Q723,Q723,_gBP4BU2---,"instance of,original language",Canadian police drama television series,Rookie Blue,item
WikiItems/Q726,Q726,_gBP4BVC---,"taxon rank,instance of,taxon name","subspecies of Equus ferus, or the wild horse",horse,item
WikiItems/Q732,Q732,_gBP4BVK---,instance of,Portuguese sandwich made in state-of-the-art,Francesinha,item
WikiItems/Q735,Q735,_gBP4BVS---,"OmegaWiki Defined Meaning,GND identifier",process of creating things of no intrinsic value but significant extrinsic value through emotional or aesthetic appeal,art,item
WikiItems/Q737,Q737,_gBP4BVe---,"OmegaWiki Defined Meaning,element symbol,GND identifier,instance of",chemical element with the atomic number of 75,rhenium,item
WikiItems/Q744,Q744,_gBP4BVi---,"OmegaWiki Defined Meaning,element symbol,GND identifier,instance of",chemical element with the atomic number of 28,nickel,item
WikiItems/Q746,Q746,_gBP4BVu---,instance of,a grilled sandwich,Croque-madame,item
WikiItems/Q747,Q747,_gBP4BV6---,"place of burial,place of birth,GND identifier,MusicBrainz artist ID,instance of,given name,CANTIC",French tragedian,Pierre Corneille,item
WikiItems/Q749,Q749,_gBP4BWC---,"instance of,is in the administrative territorial entity,Wikivoyage banner,BAG-code for Dutch towns","capital city of the province of Groningen, the Netherlands",Groningen,item
WikiItems/Q751,Q751,_gBP4BWK---,"OmegaWiki Defined Meaning,element symbol,GND identifier,discovery date,instance of",chemical element with the atomic number of 76,osmium,item
WikiItems/Q757,Q757,_gBP4BWW---,"time zone,instance of,head of state,capital,official language,ISO 3166-1 alpha-3,flag,Wikivoyage banner,dmoz,GeoNames ID",country in the Caribbean,Saint Vincent and the Grenadines,item
WikiItems/Q763,Q763,_gBP4BWe---,"instance of,head of state,capital,official language,is in the administrative territorial entity,ISO 3166-1 alpha-3,flag,Wikivoyage banner,dmoz,GeoNames ID",country in North America,Saint Kitts and Nevis,item
WikiItems/Q764,Q764,_gBP4BWm---,"MycoBank taxon name identifier,taxon rank,taxon name,instance of,Code of nomenclature,Encyclopedia of Life ID",kingdom of organisms,fungi,item
WikiItems/Q770,Q770,_gBP4BWu---,"capital,time zone,type of administrative territorial entity,is in the administrative territorial entity,official language,Wikivoyage banner,GND identifier,dmoz,instance of",province of the Netherlands,Friesland,item
WikiItems/Q771,Q771,_gBP4BW2---,"capital,official language,flag,type of administrative territorial entity,time zone,is in the administrative territorial entity,Wikivoyage banner,dmoz,instance of,category for people who died here",state of the United States of America,Massachusetts,item
WikiItems/Q772,Q772,_gBP4BX----,"capital,time zone,type of administrative territorial entity,is in the administrative territorial entity,Wikivoyage banner,GND identifier,dmoz,instance of",province of the Netherlands,Drenthe,item
WikiItems/Q776,Q776,_gBP4BXK---,"capital,time zone,flag,type of administrative territorial entity,is in the administrative territorial entity,Wikivoyage banner,GND identifier,dmoz,instance of,category for people who died here",province of the Netherlands,Utrecht,item
WikiItems/Q777,Q777,_gBP4BXS---,"instance of,version,developer",web browser developed by Google,Google Chrome,item
WikiItems/Q795,Q795,_gBP4BXe---,,state of lacking intelligence,stupidity,item
WikiItems/Q801,Q801,_gBP4BXm---,"instance of,capital,official language,head of state,executive body,ISO 3166-1 alpha-3,flag,GND identifier,time zone,Wikivoyage banner,dmoz,Human Development Index,population,category for people who died here,GeoNames ID",country in Western Asia,Israel,item
WikiItems/Q807,Q807,_gBP4BXy---,"instance of,type of administrative territorial entity,is in the administrative territorial entity,population,time zone,official language,Wikivoyage banner,GND identifier,dmoz,HDS,category for people who died here",capital city of the Swiss Canton of Vaud,Lausanne,item
WikiItems/Q815,Q815,_gBP4BX2---,"signature,GND identifier,place of birth,member of political party,instance of,position held,given name",Chilean politician,Gabriel Gonzáles Videla,item
WikiItems/Q816,Q816,_gBP4BYC---,"capital,official language,flag,type of administrative territorial entity,time zone,GND identifier,is in the administrative territorial entity,Wikivoyage banner,dmoz,instance of",state in the United States of America,Arizona,item
WikiItems/Q819,Q819,_gBP4BYG---,"OmegaWiki Defined Meaning,instance of,capital,head of state,official language,ISO 3166-1 alpha-3,flag,Wikivoyage banner,GND identifier,GeoNames ID",country in Asia,Laos,item
WikiItems/Q826,Q826,_gBP4BYO---,"official language,capital,ISO 3166-1 alpha-3,instance of,flag,Wikivoyage banner,GND identifier,dmoz,southernmost point,GeoNames ID",country in Asia,Maldives,item
WikiItems/Q844,Q844,_gBP4BYW---,"GND identifier,original language,instance of",series about a fictional British spy,James Bond,item
WikiItems/Q847,Q847,_gBP4BYi---,GND identifier,sport in which individuals or teams attempt to ground the ball on the opponent's side of the net,tennis,item
WikiItems/Q849,Q849,_gBP4BYq---,"place of birth,GND identifier,MusicBrainz artist ID,instance of,NTA identifier (Netherlands),NLA identifier,BNE identifier,CANTIC,given name",Mediæval French poet,François Villon,item
WikiItems/Q853,Q853,_gBP4BY2---,"GND identifier,cause of death,place of burial,father,instance of,place of birth,NTA identifier (Netherlands),BNE identifier,NLA identifier,given name","Soviet and Russian film-maker, writer, film editor, film theorist, theatre and opera director",Andrei Tarkovsky,item
WikiItems/Q856,Q856,_gBP4BZ----,,an optical machine-readable representation of data,barcode,item
WikiItems/Q859,Q859,_gBP4BZK---,"student of,GND identifier,MusicBrainz artist ID,father,place of birth,instance of,CANTIC,Sandrart.net person ID",Classical Greek philosopher,Plato,item
WikiItems/Q861,Q861,_gBP4BZS---,"OmegaWiki Defined Meaning,element symbol,GND identifier,instance of",chemical element with atomic number of 31,gallium,item
